role,skills,education,experience_type
project coordinator (civil),"2, accounting, analytical skills, billing, c programming, client, clients, closing, consultant, consulting, credit, customer care, data entry, database, debit, delivery, designer 2000, developer, documentation, editing, excel, excellent writing skills, fetch, filing, financial, forms, full life cycle, funds, general ledger accounts, legal, managing, microsoft applications, microsoft word, month-end closing, office, oracle, oracle database, os, policies, processes, processing payments, proposals, quality assurance, read, real estate, reporting, requirement, research support, sales, scheduling, scripts, senior management, solomon, sql, system integration, tables, tax, tax accounting, tax returns, technical documentation, telephone, upgrades, utilities, windows","Diploma, Bachelor of Science",experienced
senior ios engineer,"2000, api, approach, atl, audio, backup, bridges, broadcast, c#, c++, ca, cli, com, concept, content, css, documentation, drawing, editing, explorer, ftp, gui, hardware, hiring, hr, html5, http, ids, javascript, json, lan, mb, memory, mentoring, mfc, migration, nas, office, oop, page, performance reviews, personnel, proxy, rendering, san, scrum, servers, software development, team building, team management, threads, video, video editing, visual c++, window, windows, workflow, writer, xml","M.S, B.E",experienced
machine learning (ml) engineer,"accounting packages, cabling and laying of cables, data analysis techniques, database management system and administration, database programming, firewall setup, improving accounting and internal control systems, installation of hardware, installation of network components, interpersonal and communication skills, ip addressing, linux programming, monitoring and evaluation skills, negotiating skills, network design, office suite, operating system knowledge, programming in java, python, repair and maintenance practice, software development skills, technical proposal writing skills, troubleshooting a network failure, troubleshooting of hardware failure, upgrading of hardware, web design technology, windows platforms programming","Masters of Science in Information Technology, Bachelor's Degree in Computer Science, Certification in computer packages, KCSE, KCPE",experienced
software_engineer,"aws, bert, data science, deep learning, devops, docker, flask, git, glove, gpu, keras, linux, lstm, lucene, machine learning, mysql, natural language processing, neural networks, numpy, pandas, python, pytorch, rnn, spacy, tensorflow",B.Tech,experienced
management trainee - mechanical,"agile methodologies, architect end to end, build teams, c, c++, control systems, develop products in consumer electronics, device drivers, digital tv, dvb, embedded linux, h.264, hardware, hls, industrial automation, integrating content protection systems, interface with customers and vendors, java, json, jvm, lead development, leadership, lxc, mathematical modeling, matlab, mentor, microcontrollers, mp4, mpeg, octave, project planning and management, rest, rtos - os9, scrum, sdlc, snmp, soap, socs, tr069, vxworks, xml","M.Tech, B.E, Course",experienced
hr,"access database queries & data mining, cch & ria tax research, finance and tax research - lexis-nexis, formulas, image scanner asset manager -10-key; printers & scanners; general office tools, infolease for lease and financial accounting & citconnect research, internet accounting, microsoft excel expert - pivot tables, ms word, oracle experience, outlook, peoplesoft use & knowledge - queries & data mining, powerpoint, proficient in microsoft office, quickbooks, sharepoint use experience, stat- fsi track, ultra tax, v-lookups","MBA, BBA - Accounting, BBA - Finance",experienced
site engineer,"algorithm development, chatbot, data arbitration, machine learning engineering, neural networks, pattern recognition, python, pytorch","B.Sc, M.Sc",experienced
executive/ sr. executive -it,"accounting systems proficiency, advanced utilization microsoft office suite, communication skills, erp, excel, high attention to details, high efficiency","Master of Business, Bachelor of Commerce",experienced
marketing,"air force, budget, cmpro, communication, conflict management, continuous improvement, dc, delivery, doors, drawing, electrical engineering, electrical systems, engineer, estimating, functional, hardware, hardware design, ibm, ibm rationale doors, leadership, leadership development, materials, mechanical, mechanical engineering, microsoft office, microsoft project, microsoft visio, navy, peer review, power distribution, power supplies, presentations, process improvement, procurement, producing, project management, project planning, proposals, quality, risk analysis, schematics, senior management, siemens, software engineering, staffing, systems engineering, team leadership, video","Master of Business Administration, Bachelor of Science, Project Management Graduate Certificate",experienced
senior ios engineer,"alteryx, customer analytics, data science, data visualization, natural language processing, process improvement, python, r, sql, tableau",B.Tech,experienced
hr,"budget, business strategy, consultation, customer relationship management, delivery, direct mail, directing, driving, email, forecasting, graphic, graphic design, image, inside sales, inventory, market, marketing, marketing & sales, marketing strategy, mentor, new business development, optimization, policies, presentations, sales, senior management, strategy",Associate of Arts,experienced
